code,level1,level2,level3,latitude,longitude
1156054000,서울특별시,영등포구,여의동,37.5148889,126.9367556
1156055000,서울특별시,영등포구,당산제1동,37.5221583,126.8995222
1156056000,서울특별시,영등포구,당산제2동,37.5319389,126.9042444
1156058500,서울특별시,영등포구,도림동,37.5094750,126.8959500
1156060500,서울특별시,영등포구,문래동,37.5170965,126.8995421
1156061000,서울특별시,영등포구,양평제1동,37.5208472,126.8902861
1156062000,서울특별시,영등포구,양평제2동,37.5350000,126.8980222
1156063000,서울특별시,영등포구,신길제1동,37.5081722,126.9234778
1156065000,서울특별시,영등포구,신길제3동,37.5046222,126.9099194
1156066000,서울특별시,영등포구,신길제4동,37.5056722,126.9133750
1156067000,서울특별시,영등포구,신길제5동,37.4988222,126.9073444
1156068000,서울특별시,영등포구,신길제6동,37.4965639,126.9119444
1156069000,서울특별시,영등포구,신길제7동,37.5036556,126.9234778
1156070000,서울특별시,영등포구,대림제1동,37.4925889,126.9079639
1156071000,서울특별시,영등포구,대림제2동,37.4899250,126.9003556
1156072000,서울특별시,영등포구,대림제3동,37.4954861,126.9002111
1159000000,서울특별시,동작구,,37.5096556,126.9415750
1159051000,서울특별시,동작구,노량진제1동,37.5094806,126.9440861
1159052000,서울특별시,동작구,노량진제2동,37.5057333,126.9393861
1159053000,서울특별시,동작구,상도제1동,37.5040500,126.9530222
1159054000,서울특별시,동작구,상도제2동,37.5026417,126.9444000
1159055000,서울특별시,동작구,상도제3동,37.4963667,126.9333889
1159056000,서울특별시,동작구,상도제4동,37.4977778,126.9398750
1159060500,서울특별시,동작구,흑석동,37.5067389,126.9626111
1159062000,서울특별시,동작구,사당제1동,37.4736111,126.9757333
1159063000,서울특별시,동작구,사당제2동,37.4856194,126.9795083
1159064000,서울특별시,동작구,사당제3동,37.4838250,126.9740861
1159065000,서울특별시,동작구,사당제4동,37.4781861,126.9737222
1159065100,서울특별시,동작구,사당제5동,37.4827972,126.9691083
1159066000,서울특별시,동작구,대방동,37.5053306,126.9284444
1159067000,서울특별시,동작구,신대방제1동,37.4861500,126.9121083
1159068000,서울특별시,동작구,신대방제2동,37.4961222,126.9279750
1162000000,서울특별시,관악구,,37.4753861,126.9538444
1162052500,서울특별시,관악구,보라매동,37.4853056,126.9348861
1162054500,서울특별시,관악구,청림동,37.4890389,126.9606667
1162056500,서울특별시,관악구,성현동,37.4896244,126.9481357
1162057500,서울특별시,관악구,행운동,37.4778833,126.9590333
1162058500,서울특별시,관악구,낙성대동,37.4735000,126.9604889
1162059500,서울특별시,관악구,청룡동,37.4791510,126.9415500
1162060500,서울특별시,관악구,은천동,37.4853086,126.9424278
1162061500,서울특별시,관악구,중앙동,37.4814417,126.9517556
1162062500,서울특별시,관악구,인헌동,37.4723056,126.9673750
1162063000,서울특별시,관악구,남현동,37.4717889,126.9799556
1162064500,서울특별시,관악구,서원동,37.4797346,126.9313000
1162065500,서울특별시,관악구,신원동,37.4787778,126.9294194
1162066500,서울특별시,관악구,서림동,37.4721639,126.9370556
1162068500,서울특별시,관악구,신사동,37.4854118,126.9180796
1162069500,서울특별시,관악구,신림동,37.4874260,126.9270750
1162071500,서울특별시,관악구,난향동,37.4614290,126.9188420
1162072500,서울특별시,관악구,조원동,37.4826299,126.9078649
1162073500,서울특별시,관악구,대학동,37.4706145,126.9369907
1162074500,서울특별시,관악구,삼성동,37.4701010,126.9329630
1162076500,서울특별시,관악구,미성동,37.4761761,126.9155534
1162077500,서울특별시,관악구,난곡동,37.4709634,126.9216507
1165000000,서울특별시,서초구,,37.4807861,127.0348111
1165051000,서울특별시,서초구,서초1동,37.4860000,127.0211111
1165052000,서울특별시,서초구,서초2동,37.4892500,127.0269111
1165053000,서울특별시,서초구,서초3동,37.4807833,127.0145667
1165053100,서울특별시,서초구,서초4동,37.4998556,127.0242222
1165054000,서울특별시,서초구,잠원동,37.5120889,127.0160528
